NCGC00254346-01,CC(C)=CCC\C(C)=C/CO
NCGC00256864-01,CC(C)(CO)C(O)C(=O)NCCCO
NCGC00015092-10,NCCCCCC(O)=O
NCGC00016337-05,OC(=O)C1=C(C=CC=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3
NCGC00259985-01,C1CCC(CC1)NSC2=NC3=C(S2)C=CC=C3
NCGC00257170-01,C1CN(CCO1)SSC2=NC3=C(S2)C=CC=C3
NCGC00258065-01,OC1=CC=C2C=CC=CC2=C1\N=N\C3=CC=CC=C3
NCGC00257131-01,CCOC(=O)C(=C)C#N
NCGC00259758-01,CCCCCCCCCC(O)=O
NCGC00257390-01,CC(C)(C)C1=CC=C(S)C=C1
NCGC00258817-01,CC1=CC(N)=CC=C1
NCGC00257630-01,ClC1=CC=C2N(CC3CC3)C(=O)CN=C(C4=CC=CC=C4)C2=C1
NCGC00016308-06,CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C2=CC=CC=C2)C(C)C
NCGC00256011-01,CCC(=O)OCC1=CC=CC=C1
NCGC00260359-01,[H][C@@]1(F)CN(C(=O)OC(C)(C)C)[C@@]([H])(C1)C(O)=O
NCGC00178317-03,[Na+].[Na+].[Na+].[O-]C(=O)P([O-])([O-])=O
NCGC00259450-01,[H]P(=O)(OC)OC
NCGC00257051-01,CC1=CC(=C(N)C=C1)[N+]([O-])=O
NCGC00258123-01,CC(=O)C=CC1=CC=CO1
NCGC00162232-06,[Na+].CCCCCN(CCCCC)C(=O)C(CCC([O-])=O)NC(=O)C1=CC(Cl)=C(Cl)C=C1
NCGC00259686-01,O=C1CCC2=C(O1)C=CC=C2
NCGC00256101-01,CCCCCCCCCCCCCCCCC
NCGC00254212-01,O=C1OC(=O)C2C3CC(C=C3)C12
NCGC00016058-07,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C3=CC(Cl)=CC(Cl)=C3
NCGC00259571-01,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
NCGC00257048-01,CC(C)(N)CO
NCGC00260512-01,COC1=NC(N)=NC2=C1NC=N2
NCGC00258801-01,C[Sn](C)(Cl)Cl
NCGC00257910-01,CC(C)Br
NCGC00015060-18,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+]([O-])=O
NCGC00255880-01,CN1CCCC1
NCGC00015817-14,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C
NCGC00255478-01,CC(=O)CCC1=CC=C(OC(C)=O)C=C1
NCGC00253643-01,CC(C)(C)C1=CC(C=O)=CC(=C1O)C(C)(C)C
NCGC00091088-05,O1C=CC2=C1C=CC=C2
NCGC00182998-01,CC(=O)OC1=CC=C(C=C1)C2(OC3=C(NC2=O)C=CC=C3)C4=CC=C(OC(C)=O)C=C4
NCGC00259598-01,CC1(C)NC(=O)NC1=O
NCGC00255110-01,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2
NCGC00254315-01,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NCGC00255683-01,[O-][N+](=O)C1=CC=C(Cl)C(=C1)C(=O)NC2=CC=CC=C2
NCGC00024485-08,NC\C=C\C(O)=O
NCGC00253723-01,COC(=O)C1=C(OC)C=C(NC(C)=O)C(Cl)=C1
NCGC00256025-01,O=C1NC(=O)C2=CC=CC3=C2C1=CC=C3
NCGC00164576-04,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)COC3=C(C)C=CC=C3C)CC4=CC=CC=C4
NCGC00254606-01,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C2=NN(C)C(OC(F)F)=C2Cl
NCGC00258716-01,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr
NCGC00253685-01,O=C1C2=CC=CC=C2CCC3=C1C=CC=C3
NCGC00255236-01,CN\C(NCC1CCOC1)=N\[N+]([O-])=O
NCGC00095911-06,OCCOCCN1CCN(CC1)C2=NC3=C(SC4=C2C=CC=C4)C=CC=C3
NCGC00255469-01,CC(C)NC(=O)C1=C(N)C=CC=C1
NCGC00259783-01,CC(C)=CCO
NCGC00255732-01,CCCCOC(=O)C(C)O
NCGC00259912-01,OC(=O)C(Cl)Cl
NCGC00162149-07,Cl.[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C4=C([C@H]2O)C(Cl)=CC=C4O
NCGC00016324-09,COC1=CC=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=N1
NCGC00257330-01,CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)C2=CC=CC(OC3=CC=CC=C3)=C2
NCGC00247675-01,Cl.COC1=CC(CC(C)C)=CC(OC)=C1OC
NCGC00254500-01,CCCCOC(=O)C1=CC=CC=C1
NCGC00256375-01,CN(C)C(C)=O
NCGC00260348-01,CC(C)CC(=O)C(C)=O
NCGC00090820-03,CC(=O)NC1=CC=C(C=C1)C(O)=O
NCGC00257999-01,O=C1CCCCCO1
NCGC00178480-03,Cl.[Cl-].COC1=CC2=C3C=C1OC4=C(O)C=CC(C[C@@H]5C6=C(CC[N+]5(C)C)C=C(OC)C(O)=C6OC7=CC=C(C[C@@H]3N(C)CC2)C=C7)=C4
NCGC00261975-01,[Br-].OC(=O)CCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00255786-01,ON=CC=NO
NCGC00255934-01,O=CN1CCCCC1
NCGC00254371-01,CC(C)[C@]2(CCC1=CC=C(N)C=C1)CC(O)=C(SC3=CC(C)=C(CO)C=C3C(C)(C)C)C(=O)O2
NCGC00258686-01,Cl.CN(C)CCN(CC1=CC=CS1)C2=NC=CC=C2
NCGC00021202-03,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
NCGC00259737-01,CC(=O)OC(C)(C)C1CCC(C)=CC1
NCGC00260025-01,OC(=O)C=CC1=CC=C(C=CC(O)=O)C=C1
NCGC00256134-01,C[Si](NC1CCCCC1)(NC2CCCCC2)NC3CCCCC3
NCGC00256233-01,NC1=NC(=S)NN1
NCGC00254549-01,Cl[Sb](Cl)Cl
NCGC00256358-01,Cl.CC1=CC=CC=C1N
NCGC00159515-03,CN1CCN(CC1)C(=O)O[C@@H]2N(C(=O)C3=NC=CN=C23)C4=NC=C(Cl)C=C4
NCGC00259331-01,NC1=NNC=N1
NCGC00260316-01,COC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(=O)OC
NCGC00257762-01,CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
NCGC00260173-01,CCC[N+]1=C(C)N(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
NCGC00025002-04,CCN(CC)CC1CCCCN1CC(=O)N2C3=C(C=CC=C3)C(=O)NC4=C2N=CC=C4
NCGC00182996-01,CCOC(=O)CN1C=CC=C1C2=NC(=C(S2)C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4
NCGC00257359-01,[Cl-].CCCCN1C=C[N+](C)=C1
NCGC00091666-04,CC12CCC(CC1)C(C)(C)O2
NCGC00258034-01,COC1=CC=C(Br)C(C)=C1
NCGC00255939-01,FC(F)(F)C1=CC=CC(=C1)N2CC(CCl)C(Cl)C2=O
NCGC00025341-06,COC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC3=NON=C23)C(=O)OC(C)C
NCGC00256701-01,ON1N=NC2=C1C=CC=C2
NCGC00164246-05,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
NCGC00257096-01,CCCCCCCCCCC=C
NCGC00254724-01,C(CC1=CC=CC=C1)C2=CC=CC=C2
NCGC00256290-01,OCC1(CO)COCOC1
NCGC00255937-01,CNC(=O)NC1=CC(Cl)=C(Cl)C=C1
NCGC00260284-01,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
NCGC00015061-13,NC1=NC2=C(N=CN2COCCO)C(=O)N1
NCGC00255566-01,CCOP(=S)(OCC)SCN1N=NC2=CC=CC=C2C1=O
NCGC00015823-17,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C3=C(C=CC=C3)S1(=O)=O
NCGC00255637-01,ClC1=CC=C(C=C1)C(=O)C2=CC=C(Cl)C=C2
NCGC00254457-01,CC(=O)CC(C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3OC2=O
NCGC00249933-01,C[N+]([O-])(CCCl)CCCl
NCGC00181337-03,OCC1=C(Cl)C=C(Cl)C=C1
NCGC00256726-01,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl
NCGC00015609-09,OC(=O)C1=NN(CC2=CC=C(Cl)C=C2Cl)C3=C1C=CC=C3
NCGC00258325-01,O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C=C1
NCGC00260207-01,F[P-](F)(F)(F)(F)F.CCCN1C=C[N+](C)=C1
NCGC00016280-07,NC1=NC2=C(O1)C=CC(Cl)=C2
NCGC00255048-01,CSC(=O)C1=C(CC(C)C)C(C(=O)SC)=C(N=C1C(F)(F)F)C(F)F
NCGC00094571-08,CCN(C(=O)C=CC)C1=CC=CC=C1C
NCGC00255220-01,CC1CN1P(=O)(N2CC2C)N3CC3C
NCGC00025349-05,[H][C@@]12CC3=C(C(O)=C(O)C=C3)C4=C1C(CCN2C)=CC=C4
NCGC00258912-01,CN(C)C1CCCCC1
NCGC00255703-01,[Na+].[O-]S(=O)(=O)C1=CC=CC2=C1C=CC(=[N+]=[N-])C2=O
NCGC00260142-01,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O
NCGC00259843-01,CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12
NCGC00255005-01,NC1=NC(Cl)=NC(N)=N1
NCGC00160525-02,CCN(C(C)=O)C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N
NCGC00181340-02,NS(=O)(=O)C1=CC(C2=NN=NN2)=C(NCC3=CC=CS3)C=C1Cl
NCGC00259434-01,CCCCOCCOCCOCCO
NCGC00093588-04,NC1=NC=NC2=C1N=CN2[C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O
NCGC00257202-01,NC1=NC(=O)N(C=C1)[C@H]2CC[C@@H](CO)O2
NCGC00258857-01,OC(=O)C(\Cl)=C(\Cl)C=O
NCGC00183841-01,COC1=CC(=CC(OC)=C1OC)C(=O)OC(COCCC(C)C)CN2CCOCC2
NCGC00162288-07,CCCC(CCC)C(O)=O
NCGC00021147-11,OC(=O)CCC(O)=O.CN(C)CCOC(C)(C1=CC=CC=C1)C2=CC=CC=N2
NCGC00258929-01,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O
NCGC00183858-01,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4
NCGC00164486-04,COC1=CC(C=C2CCCC(=CC3=CC=C(O)C(OC)=C3)C2=O)=CC=C1O
NCGC00257692-01,ClC1=NC2=CC=CC=C2N=C1Cl
NCGC00164605-02,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)C2=CC=CC=C12)C(=O)NC3=NC=CC=C3
NCGC00260265-01,CCCCCBr
NCGC00257016-01,CC(C)(O)C#N
NCGC00015704-09,Cl.CN(C)CCN(CC1=CC=CS1)C2=NC=CC=C2
NCGC00255820-01,CC(=O)O[Al](O)OC(C)=O
NCGC00254008-01,CCCCN(CCCC)CCCC
NCGC00257354-01,CCCCCCC(C)(C)S
NCGC00259889-01,COCCOCCOC
NCGC00257355-01,CCCCCCC(=O)C1=CC=CC=C1
NCGC00256256-01,COC(OC)C=C(C)CCC=C(C)C
NCGC00256371-01,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1
NCGC00255702-01,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1
NCGC00256531-01,CC1=NC=CN1
NCGC00259603-01,CC(=O)C1=NC=CS1
NCGC00254948-01,CN(CC1=CN=C(Cl)C=C1)C(C)=NC#N
NCGC00256595-01,CC1CC(=O)O1
NCGC00260043-01,ClC(Cl)Cl
NCGC00257895-01,CC1=CC=CC2=CC=CN=C12
NCGC00257726-01,COC1=C2OCOC2=CC(CC=C)=C1
NCGC00091175-03,NC1=C(C=CC=C1)C(O)=O
NCGC00254039-01,OC1=CC=C(C=C1)C2(OC(=O)C3=C2C=CC=C3)C4=CC=C(O)C=C4
NCGC00256178-01,CN(C)CCCNCCC#N
NCGC00024772-02,[Cl-].NC1=C[N+](=NO1)N2CCOCC2
NCGC00181010-02,Cl.CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(=C1)C(F)(F)F
NCGC00263442-01,NC1=NC2=C(NC=N2)C(=S)N1
NCGC00254183-01,O=C(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00256912-01,CCCCCCCCCCC=CC#N
NCGC00257594-01,ClC1=CC=C(C=O)C=C1Cl
NCGC00024915-04,CC1(C)CO[C@@H](CC(O)=O)CN1
NCGC00255441-01,CCSCC1=C(OC(=O)NC)C=CC=C1
NCGC00255487-01,CC(=C)C1CCC(C)(O)CC1
NCGC00255400-01,CC(C)C(C)(N)C#N
NCGC00256746-01,CCC1=NC=CN=C1C
NCGC00258219-01,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)CC[C@]34C
NCGC00254257-01,OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1
NCGC00258832-01,COC1=C(NC(=O)CC(C)=O)C=CC=C1
NCGC00178826-03,Cl.N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
NCGC00090704-03,Cl[In](Cl)Cl
NCGC00258201-01,NC(=N)S(O)=O
NCGC00256637-01,Cl.Cl.ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
NCGC00164164-02,CN1C(=O)C2=C(C=CC=C2)C1=O
NCGC00255639-01,COC1=NC(C)=NC(N)=N1
NCGC00254696-01,COC(=O)CC1=CC=CC=C1
NCGC00258787-01,COC(=O)CCCC(=O)OC
NCGC00025315-02,O=C1N(CCCCN2CCN(CC2)C3=NC=CC=N3)S(=O)(=O)C4=CC=CC=C14
NCGC00255456-01,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(C)C4=CC(=O)CC[C@]34C
NCGC00255094-01,CC(=O)NC1=CC=C(CC(O)=O)C=C1
NCGC00257362-01,CCOCC(O)=O
NCGC00257767-01,CCCCN(CCCC)C1=CC(O)=C(C=C1)C(=O)C2=C(C=CC=C2)C(O)=O
NCGC00183828-01,CC(COC1=CC=CC=C1)NN
NCGC00259632-01,CC(=O)OCCOC(C)=O
NCGC00258545-01,NC1=CC=C(C(N)=C1)[N+]([O-])=O
NCGC00015786-16,CC(C)NCC(O)COC1=C2C=CNC2=CC=C1
NCGC00018291-03,CC[C@H](NC(C)C)[C@H](O)C1=CC=C(O)C2=C1C=CC(=O)N2
NCGC00255539-01,CCCCC1=C(OS(=O)(=O)N(C)C)N=C(NCC)N=C1C
NCGC00093889-12,[H][C@]12N(C)CC[C@@]1(C)C3=C(C=CC(OC(=O)NC)=C3)N2C
NCGC00257106-01,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O
NCGC00257190-01,COC(=O)C1CCC(CC1)C(=O)OC
NCGC00160366-02,SCC(=O)NC1=CC=CC=C1
NCGC00254591-01,NC1=CC=C(N)C2=C1C(=O)C3=CC=CC=C3C2=O
NCGC00256204-01,[H][C@@]12CC[C@@H](C)[C@]13CC(C(C)=CC3)C2(C)C
NCGC00016261-08,CC1=C(O)C(CO)=C(CO)C=N1
NCGC00256741-01,CC1=C(C=O)C(C)(C)CCC1
NCGC00256607-01,BrCCBr
NCGC00257445-01,NCC1=CC(CN)=CC=C1
NCGC00256491-01,CCCCCCC=O
NCGC00249918-01,[H][C@]1(C[C@@]2([H])[C@]3([H])CCC4=C(C=CC(OC(=O)CC)=C4)[C@@]3([H])CC[C@]2(C)[C@@]1([H])OC(=O)CC)OC(=O)CC
NCGC00258671-01,CCCC(=O)CC
NCGC00257484-01,CN1C(COC(N)=O)=NC=C1[N+]([O-])=O
NCGC00254590-01,CCC1=CC(C(O)=O)=C(N=C1)C(O)=O
NCGC00254182-01,CC1=CC(=CC=C1)[N+]([O-])=O
NCGC00023902-09,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00255620-01,CC(CO)C1=CC=CC=C1
NCGC00160388-04,CN1CCN(CC1)C2=NC3=CC(F)=CC=C3CC4=C2C=CC=C4
NCGC00255271-01,CC1(C)NC(=O)N(C1=O)C2=CC(=C(C=C2)[N+]([O-])=O)C(F)(F)F
NCGC00254079-01,C1CC2=C3C1=CC=CC3=CC=C2
NCGC00166072-02,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
NCGC00256359-01,[Na+].[O-]Cl=O
NCGC00256911-01,Cl.CC1=NC=C(CO)C(CO)=C1O
NCGC00256838-01,CC\C=C/CCOC(=O)C(\C)=C\C
NCGC00166200-02,OC(NC(=O)NC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
NCGC00254849-01,FC1=CC=C(C=C1)C3(CN2C=NC=N2)OC3C4=C(Cl)C=CC=C4
NCGC00259210-01,CC1=C(C=CC=C1N=C=O)N=C=O
NCGC00166140-02,Cl.Cl.CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1
NCGC00255742-01,CC(=C)C(=O)OCCCCCCOC(=O)C(C)=C
NCGC00255976-01,CC(C)(C)C1CCC(=O)CC1
NCGC00257299-01,CCCCC(CC)COC(Cl)=O
NCGC00255396-01,CC1=CC(C)=C(C)C(C)=C1
NCGC00263583-01,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CS[C@@H](CN(CC(O)=O)C2=O)C3=CC=CS3
NCGC00256207-01,Cl.CN(C)\C=N\C1=CC=C(Cl)C=C1C
NCGC00254299-01,[Na+].[Na+].OC1=C(\N=N\C2=CC=C(C=C2)S([O-])(=O)=O)C3=C(C=C1)C=C(C=C3)S([O-])(=O)=O
NCGC00258919-01,NNC(=O)C1=CC=NC=C1
NCGC00259657-01,C1=CC=C(C=C1)C2=CC=CC=C2
NCGC00259023-01,Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00260144-01,BrC1=CC=C(C2=CC(Br)=C(Br)C(Br)=C2)C(Br)=C1Br
NCGC00016509-06,Cl.COC1=CC(=CC(OC)=C1OC)C(=O)NCC2=CC=C(OCCN(C)C)C=C2
NCGC00260151-01,OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=CC=C(O)C=C5S2
NCGC00254686-01,ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl
NCGC00274083-01,CCCCCN(CCCOC)C(=O)C(CCC(O)=O)NC(=O)C1=CC(Cl)=C(Cl)C=C1
NCGC00255614-01,Cl.[H][C@]2(O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O)O[C@H](C)[C@H](C[C@@H]2N)NC(=N)C(O)=O
NCGC00254380-01,CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C
NCGC00256000-01,CC(=O)OC1=CC=C(C=C1)C(C)=O
NCGC00255962-01,CCCCC[Si](OCC)(OCC)OCC
NCGC00258264-01,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
NCGC00257972-01,CCCCNCCCC
NCGC00258510-01,ClCC#N
NCGC00258410-01,COC(=O)C1=C(C=CC=C1)S(=O)(=O)NC(=O)NC2=NC(C)=NC(OC)=N2
NCGC00259702-01,Cl.NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1
NCGC00095160-03,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
NCGC00258188-01,O=CC1=CC=CC=C1
NCGC00254353-01,CC(=O)OCCOCCOCCOC(C)=O
NCGC00254146-01,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC
NCGC00253669-01,CCOC(=O)N1CCC(=O)CC1
NCGC00164520-02,C[C@@H](O)[C@H](N)C(O)=O
NCGC00015007-14,CC(C)NC[C@@H](O)COC1=CC=C(CC(N)=O)C=C1
NCGC00090730-03,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
NCGC00260237-01,[I-].CCCC[N+]1=CC=C(C)C=C1
NCGC00259123-01,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1
NCGC00255574-01,OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O
NCGC00255449-01,CC(=O)OC(C)(C)CC1=CC=CC=C1
NCGC00254352-01,OC(=O)C1=C(C=CC=C1)C(=O)OCC2=CC=CC=C2
NCGC00255889-01,OC(=O)CCC=C
NCGC00090774-05,CC(=O)OC1=C(C=CC=C1)C(=O)NC2=NC=C(S2)[N+]([O-])=O
NCGC00167445-02,Cl.Cl.CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C3=CC=CC=C3
NCGC00254720-01,CC1(C)CC(=O)CC(C)(C)N1
NCGC00257595-01,CCC(C)=O
NCGC00259222-01,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00166238-02,[O-][N+](=O)C1=NC=CN1CC(=O)NCC2=CC=CC=C2
NCGC00259516-01,CCCCCCCC\C=C/CCCCCCCC(O)=O
NCGC00256051-01,CC(=O)NCCO
NCGC00160484-02,CCN(CC)CCOC1=C(C=CC=C1)C(=O)CCC2=CC=CC=C2
NCGC00255877-01,CCO[Si](C)(OCC)OCC
NCGC00257575-01,[O-][N+](=O)C1=CC=C2C(=O)NNC(=O)C2=C1
NCGC00263538-01,CS(O)(=O)=O.[H][C@@]12CN(C[C@]1([H])[C@H]2N)C3=C(F)C=C4C(=O)C(=CN(C5=CC=C(F)C=C5F)C4=N3)C(O)=O
NCGC00259244-01,[Cl-].C[N+](C)(CC=C)CC=C
NCGC00256064-01,O.OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
NCGC00015430-06,Br.CC(CC1=CC=C(O)C=C1)NCC(O)C2=CC(O)=CC(O)=C2
NCGC00263447-01,[H][C@@]12CC[C@@]3(C)C=CC(=O)C(C)=C3[C@@]1([H])OC(=O)[C@H]2C
NCGC00258059-01,CC(O)C1=CC=CC=C1
NCGC00258023-01,OC1=CC=C(C=C1)C2=CC=C(O)C=C2
NCGC00257854-01,NC1CCC(CC2CCC(N)CC2)CC1
NCGC00255153-01,Cl.OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=CC=C(O)C=C5S2
NCGC00258372-01,NC1=NC2=C(S1)C=CC=C2
NCGC00164526-02,CCN(CC)CCNC(C(=O)OCCC(C)C)C1=CC=CC=C1
NCGC00256934-01,CC(C)OB(OC(C)C)OC(C)C
NCGC00256081-01,N#CCCOCCOCCC#N
NCGC00258286-01,OC(=O)C1=CC2=C(C=C1)C=C(O)C=C2
NCGC00260543-01,CCCCCCCCCCCCCCCCCCCl
NCGC00259099-01,OC(=O)C1=CC2=C(C=CC=C2)C=C1O
NCGC00255490-01,CCOC1=CC=CC=C1OCC
NCGC00255245-01,CCCCCCOC(C)=O
NCGC00018123-07,[Cl-].CC(=O)OCC[N+](C)(C)C
NCGC00015680-18,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
NCGC00256002-01,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC
NCGC00254885-01,ClCC(=O)NC1=CC=CC=C1
NCGC00260100-01,CC(C)OC(C)C
NCGC00254274-01,CC1=C(C)S(=O)(=O)CCS1(=O)=O
NCGC00256548-01,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
NCGC00025303-06,CCN1CCC[C@H]1CNC(=O)C2=C(O)C(Cl)=CC(Cl)=C2OC
NCGC00256013-01,CO[Si](C)(OC)C1=CC=CC=C1
NCGC00256345-01,CCOC1=CC=C(NC(C)=O)C=C1
NCGC00259256-01,ClC1=CC(Cl)=C(Cl)C=C1Cl
NCGC00093936-08,N[C@H](CCC(N)=O)C(O)=O
NCGC00095049-04,CCCCCCOC1=CC=CC=C1C(N)=O
NCGC00255860-01,CC(C)[C@H]1CC[C@@H](C)CC1=O
NCGC00254952-01,C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(Cl)C=C3
NCGC00160669-02,CN1CCN(CC1)C(=O)C2CCCCC2
NCGC00256744-01,CCCCC1CCC(=O)O1
NCGC00166413-02,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C2=CC=CC3=C2NC[C@H](C)C3
NCGC00258347-01,NC1=CC=NC=C1
NCGC00260253-01,[Br-].CC[N+]1(C)CCCC1
NCGC00255884-01,COC(=O)C1=CC(Cl)=CC(Cl)=C1
NCGC00256802-01,CC(C)C(=O)OC1=C(C)OC=CC1=O
NCGC00016642-04,CC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN4CCC(CCO)CC4)C=C1
NCGC00256189-01,OC(=O)CCC1=CC=CC=C1
NCGC00248803-03,NC(CS)C(O)=O
NCGC00259481-01,CC(C)C1=CC=C(C)C=C1
NCGC00167817-02,CC(C)(CC1=CNC2=C1C=CC=C2)NCC(O)COC3=C(C=CC=C3)C#N
NCGC00257080-01,CCOP(OCC)OCC
NCGC00257696-01,O=C1OC(=O)C2=C1C=CC=C2
NCGC00253655-01,CC1(C)OC(=O)NC2=C1C=C(Br)C=C2
NCGC00015964-17,FC1=CC=C(C=C1)C(=O)CCCN2CCC3(CC2)N(CNC3=O)C4=CC=CC=C4
NCGC00256423-01,O=C1NC(=S)NC=C1
NCGC00015216-17,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
NCGC00259243-01,CN(C)CCOC(=O)C(C)=C
NCGC00255518-01,CON(C)C(=O)NC1=CC=C(Cl)C=C1
NCGC00254528-01,CC(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C3=CC=C(O)C=C3
NCGC00259735-01,CCCCCCCCCCO
NCGC00164498-02,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCC2
NCGC00163157-05,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(C)=O
NCGC00256280-01,C=CC(=O)N1CCOCC1
NCGC00249930-01,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C(=O)OC
NCGC00258616-01,NC1=C(Cl)C=C(Cl)C=C1Cl
NCGC00260150-01,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC(O)=C(O)C=C5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
NCGC00259296-01,CC1=NN(C(=O)C1)C2=CC=CC=C2
